lambda_mic,tau
1.0,4.807029163973209
1.01,4.726399434524919
1.02,4.647896678478814
1.03,4.571444750737617
1.04,4.496970935727576
1.05,4.424405761849531
1.06,4.353682827619071
1.07,4.284738638657245
1.08,4.217512454760858
1.09,4.1519461463425715
1.1,4.087984059587049
1.11,4.025572889720425
1.12,3.9646615618370915
1.1300000000000001,3.9052011187704307
1.1400000000000001,3.847144615533206
1.1500000000000001,3.7904470198890516
1.1600000000000001,3.7350651186493766
1.1700000000000002,3.68095742931996
1.1800000000000002,3.6280841167492337
1.1900000000000002,3.576406914455576
1.2000000000000002,3.525889050334224
1.2100000000000002,3.4764951764659577
1.2200000000000002,3.428191302769412
1.2300000000000002,3.3809447342570693
1.2400000000000002,3.3347240116718244
1.2500000000000002,3.2894988552964453
1.2600000000000002,3.2452401117425804
1.2700000000000002,3.201919703539167
1.2800000000000002,3.1595105813523032
1.2900000000000003,3.1179866786799364
1.3000000000000003,3.0773228688751875
1.3100000000000003,3.037494924361805
1.3200000000000003,2.998479477914212
1.3300000000000003,2.9602539858829395
1.3400000000000003,2.9227966932539515
1.3500000000000003,2.886086600437529
1.3600000000000003,2.850103431689058
1.3700000000000003,2.8148276050702257
1.3800000000000003,2.780240203864898
1.3900000000000003,2.746322949369297
1.4000000000000004,2.7130581749810925
1.4100000000000004,2.6804288015166358
1.4200000000000004,2.648418313689917
1.4300000000000004,2.6170107376908454
1.4400000000000004,2.586190619804201
1.4500000000000004,2.5559430060141484
1.4600000000000004,2.5262534225424376
1.4700000000000004,2.497107857271528
1.4800000000000004,2.4684927420066765
1.4900000000000004,2.4403949355337615
1.5000000000000004,2.4128017074320733
1.5100000000000005,2.385700722603676
1.5200000000000005,2.359080026483111
1.5300000000000005,2.3329280308932985
1.5400000000000005,2.3072335005153817
1.5500000000000005,2.28198553994211
1.5600000000000005,2.257173581285981
1.5700000000000005,2.2327873723150544
1.5800000000000005,2.2088169650907163
1.5900000000000005,2.185252705083192
1.6000000000000005,2.162085220741824
1.6100000000000005,2.1393054134984526
1.6200000000000006,2.116904448183321
1.6300000000000006,2.094873743834089
1.6400000000000006,2.073204964879521
1.6500000000000006,2.051890012680404
1.6600000000000006,2.030921017411171
1.6700000000000006,2.0102903302665336
1.6800000000000006,1.9899905159782785
1.6900000000000006,1.9700143456281165
1.7000000000000006,1.950354789743199
1.7100000000000006,1.9310050116616115
1.7200000000000006,1.911958361155768
1.7300000000000006,1.8932083683022616
1.7400000000000007,1.8747487375872889
1.7500000000000007,1.8565733422372845
1.7600000000000007,1.8386762187649652
1.7700000000000007,1.8210515617213976
1.7800000000000007,1.8036937186452149
1.7900000000000007,1.7865971852005205
1.8000000000000007,1.769756600495402
1.8100000000000007,1.7531667425734128
1.8200000000000007,1.7368225240707027
1.8300000000000007,1.7207189880318423
1.8400000000000007,1.704851303877713
1.8500000000000008,1.6892147635191512
1.8600000000000008,1.6738047776103229
1.8700000000000008,1.658616871936072
1.8800000000000008,1.643646683927786
1.8900000000000008,1.6288899593025428
1.9000000000000008,1.6143425488205507
1.9100000000000008,1.6000004051561183
1.9200000000000008,1.5858595798776238
1.9300000000000008,1.5719162205321295
1.9400000000000008,1.558166567830496
1.9500000000000008,1.5446069529290436
1.9600000000000009,1.5312337948039711
1.9700000000000009,1.5180435977149045
1.9800000000000009,1.50503294875413
1.9900000000000009,1.4921985154781907
2.000000000000001,1.4795370436186863
2.0100000000000007,1.4670453548692453
2.020000000000001,1.4547203447457726
2.030000000000001,1.442558980517199
2.040000000000001,1.4305582992040715
2.0500000000000007,1.4187154056424418
2.060000000000001,1.4070274706106227
2.070000000000001,1.3954917290164714
2.080000000000001,1.3841054781429656
2.0900000000000007,1.372866075949919
2.100000000000001,1.3617709394298034
