ID,S9p7,logLir_host,elogLir_host,AGNfrac,SFR,eSFR
1,0.385,10.801,0.003,0.843,6.969,0.043
2,0.24,10.399,0.002,0.28,2.733,0.009
3,-99.0,10.443,0.001,0.622,3.024,0.01
4,0.5,10.421,0.001,0.21,2.871,0.009
5,0.09,10.724,0.002,0.32,5.779,0.021
6,0.035,9.932,0.001,0.54,0.931,0.003
7,2.0,10.131,0.001,0.13,1.474,0.005
8,1.5,10.355,0.001,0.58,2.47,0.008
10,-99.0,9.844,0.001,0.36,0.762,0.002
11,0.649,10.985,0.002,0.08,10.528,0.041
12,-99.0,10.018,0.001,0.65,1.137,0.004
13,0.237,10.61,0.002,0.59,4.444,0.015
14,-99.0,10.116,0.001,0.62,1.424,0.005
15,-99.0,10.352,0.002,0.87,2.454,0.008
16,-99.0,10.454,0.001,0.684,3.109,0.009
17,-99.0,10.964,0.002,0.73,10.044,0.037
18,-99.0,9.952,0.002,0.64,0.976,0.003
19,-99.0,9.501,0.002,0.85,0.346,0.001
20,0.5,10.222,0.001,0.38,1.816,0.005
21,-99.0,10.114,0.002,0.84,1.416,0.005
22,1.249,10.636,0.002,0.38,4.715,0.016
23,0.291,10.344,0.001,0.47,2.406,0.008
24,0.2,9.934,0.001,0.86,0.936,0.003
25,0.494,11.961,0.003,0.31,99.684,0.666
26,0.137,10.493,0.002,0.18,3.389,0.012
27,-99.0,9.973,0.002,0.912,1.065,0.005
28,1.0,9.999,0.002,0.29,1.088,0.004
29,1.0,11.012,0.002,0.682,11.54,0.043
30,1.203,10.759,0.002,0.04,6.261,0.025
31,-99.0,9.326,0.001,0.52,0.231,0.001
33,0.02,10.529,0.001,0.32,3.684,0.012
34,0.122,10.479,0.002,0.71,3.286,0.011
35,0.5,8.727,0.002,0.964,0.062,0.0
36,-99.0,9.218,0.001,0.7,0.185,0.0
37,1.0,10.799,0.001,0.124,6.871,0.008
38,3.5,12.168,0.003,0.09,160.445,1.108
39,0.123,10.579,0.001,0.19,4.133,0.013
41,-99.0,9.659,0.002,0.78,0.497,0.002
42,0.006,9.663,0.002,0.88,0.502,0.002
43,-99.0,10.34,0.002,0.55,2.382,0.008
44,0.443,10.041,0.002,0.11,1.197,0.004
45,-99.0,9.6,0.002,0.817,0.435,0.002
46,0.5,9.899,0.001,0.87,0.864,0.003
47,-99.0,9.438,0.002,0.877,0.296,0.001
48,0.43,10.599,0.001,0.92,4.328,0.014
49,0.154,10.638,0.002,0.61,4.847,0.021
50,-99.0,9.005,0.002,0.66,0.11,0.0
51,0.004,10.708,0.002,0.63,5.562,0.019
52,0.623,11.134,0.002,0.13,14.826,0.061
53,-99.0,10.512,0.001,0.32,3.54,0.011
54,-99.0,10.308,0.001,0.546,2.221,0.007
55,-99.0,10.272,0.003,0.77,2.041,0.014
56,-99.0,9.816,0.001,0.723,0.716,0.002
57,-99.0,10.514,0.002,0.66,3.52,0.013
58,0.491,9.812,0.002,0.49,0.708,0.002
60,-99.0,9.884,0.002,0.28,0.834,0.003
61,0.53,10.584,0.002,0.3,4.18,0.016
64,5.0,10.381,0.001,0.03,2.623,0.008
65,-99.0,9.677,0.001,0.6,0.518,0.002
66,0.314,9.61,0.001,0.22,0.444,0.001
67,0.244,10.222,0.001,0.26,1.815,0.006
68,0.261,9.747,0.002,0.15,0.608,0.002
69,1.129,9.91,0.002,0.1,0.885,0.003
70,-99.0,9.191,0.001,0.75,0.169,0.001
72,0.774,10.379,0.001,0.392,2.633,0.008
73,-99.0,10.254,0.001,0.502,1.956,0.006
76,0.02,9.815,0.001,0.67,0.711,0.002
77,-99.0,9.41,0.001,0.85,0.28,0.001
78,0.3,8.275,0.001,0.37,0.021,0.0
79,0.914,9.882,0.003,0.69,0.83,0.005
80,-99.0,10.015,0.001,0.65,1.129,0.004
81,1.3,10.494,0.002,0.12,3.399,0.012
82,1.0,10.214,0.001,0.05,1.786,0.006
83,1.8,11.706,0.001,0.07,55.402,0.077
84,1.5,9.893,0.001,0.22,0.852,0.003
85,0.671,11.2,0.002,0.13,17.295,0.076
86,2.5,10.287,0.001,0.13,2.109,0.007
87,0.317,11.389,0.001,0.286,26.676,0.09
88,2.244,10.402,0.001,0.44,2.749,0.009
89,0.778,10.854,0.001,0.05,7.779,0.025
90,-99.0,10.671,0.001,0.48,5.112,0.016
93,0.963,10.444,0.001,0.15,3.033,0.01
94,-99.0,10.956,0.001,0.533,9.9,0.032
95,-99.0,11.272,0.002,0.801,20.688,0.078
96,-99.0,10.596,0.002,0.939,4.303,0.019
97,-99.0,10.874,0.002,0.74,8.146,0.036
98,-99.0,10.379,0.002,0.93,2.645,0.012
99,-99.0,10.063,0.002,0.79,1.26,0.004
100,-99.0,10.856,0.002,0.818,7.822,0.032
101,0.494,10.031,0.002,0.858,1.197,0.005
102,-99.0,10.287,0.001,0.85,2.112,0.007
103,0.186,10.238,0.001,0.55,1.885,0.006
104,0.65,9.729,0.001,0.23,0.584,0.002
105,0.159,10.011,0.001,0.25,1.118,0.004
106,-99.0,9.625,0.002,0.39,0.459,0.002
107,2.5,11.893,0.002,0.16,85.158,0.333
108,0.139,10.538,0.002,0.39,3.766,0.013
109,0.558,10.882,0.001,0.12,8.297,0.027
111,0.641,10.415,0.002,0.4,2.832,0.01
112,-99.0,9.994,0.001,0.87,1.075,0.003
