ID,logMdust,Tdust,logMPAH,TPAH,tau9p7
2,9.613,26.37,9.641,63.825,1.416
3,9.665,31.493,9.812,14.54,2.47
7,9.471,33.992,9.577,18.732,1.68
13,10.103,29.542,10.381,32.63,7.0
14,9.183,32.153,9.313,23.295,1.949
15,9.945,30.171,10.483,50.462,1.299
16,9.112,24.147,9.658,20.067,1.245
18,9.389,31.287,9.762,26.777,1.83
19,9.692,25.488,10.335,57.678,15.0
23,10.565,23.737,11.289,29.541,0.392
25,10.626,33.491,10.869,14.837,2.653
26,10.52,31.496,10.933,42.753,1.758
27,9.98,29.866,10.097,15.971,2.534
28,9.971,28.347,10.184,30.026,5.0
29,10.363,31.508,10.252,35.126,2.124
33,10.021,26.393,10.477,22.377,30.0
37,11.94,35.427,11.997,19.931,20.0
39,11.643,34.955,11.436,58.968,1.339
40,10.104,35.148,10.269,15.632,2.343
41,10.045,29.106,10.335,15.103,2.283
42,9.64,25.247,10.274,16.793,1.592
43,9.798,29.059,10.023,24.476,2.257
44,9.679,33.539,10.098,21.426,1.943
46,9.037,21.069,9.406,25.324,0.749
51,9.746,26.772,10.278,61.16,1.509
54,9.694,27.477,10.183,63.484,1.812
55,10.223,31.781,10.444,15.139,2.169
58,9.803,30.919,10.215,52.785,2.038
59,9.726,25.231,9.904,63.709,1.584
61,10.444,32.638,10.662,32.084,2.218
62,9.814,29.856,9.97,35.195,2.142
63,10.104,26.775,10.661,61.115,2.427
65,9.836,30.524,10.218,50.89,1.855
66,9.755,32.127,10.189,34.13,2.035
68,10.099,29.869,10.442,24.211,1.613
70,8.067,24.118,8.34,36.41,1.59
72,7.656,22.141,8.189,21.43,0.549
76,9.604,28.653,9.996,37.796,1.989
77,9.796,43.835,9.499,47.666,0.011
78,10.224,42.41,10.001,41.998,1.033
79,9.835,38.42,9.793,36.339,0.979
81,9.406,30.926,9.712,26.414,2.268
87,10.036,31.265,10.299,20.76,2.105
88,8.964,27.401,9.328,19.478,6.0
90,9.455,31.279,9.687,36.823,2.505
94,8.62,26.393,9.117,22.912,1.369
95,9.989,29.873,10.545,19.164,2.357
96,9.995,27.08,9.843,23.777,2.257
99,9.857,25.242,10.525,16.653,1.498
102,9.735,30.159,10.156,28.824,1.731
104,9.632,22.628,10.045,32.576,1.46
105,9.489,27.113,9.781,24.969,1.392
108,10.719,33.626,11.237,39.105,2.552
109,10.761,25.788,11.338,32.098,2.25
110,8.622,21.556,9.313,25.185,-99.0
